invoice_id,invoice_number,supplier_id,po_id,invoice_date,amount,status
I-00102,INV-2026-00102,S046,PO-00092,2026-02-16,17402.15,posted
I-00103,INV-2026-00103,S070,PO-00093,2026-02-22,12436.25,posted
I-00104,INV-2026-00104,S023,PO-00094,2026-04-05,21471.3,posted
I-00105,INV-2026-00105,S014,PO-00095,2026-02-10,30509.39,posted
I-00106,INV-2026-00106,S005,PO-00096,2026-04-16,35559.71,posted
I-00107,INV-2026-00107,S025,PO-00097,2026-03-03,30340.48,posted
I-00108,INV-2026-00108,S025,PO-00097,2026-03-04,13870.55,posted
I-00109,INV-2026-00109,S082,PO-00098,2026-02-23,88697.59,posted
I-00110,INV-2026-00110,S038,PO-00099,2026-02-02,8319.72,posted
I-00111,INV-2026-00111,S038,PO-00099,2026-02-17,7354.15,posted
I-00112,INV-2026-00112,S025,PO-00100,2026-02-09,11541.95,posted
I-00113,INV-2026-00113,S018,PO-00101,2026-02-05,33661.02,posted
I-00114,INV-2026-00114,S047,PO-00102,2026-04-28,26489.17,posted
I-00115,INV-2026-00115,S036,PO-00103,2026-03-10,25631.57,posted
I-00116,INV-2026-00116,S010,PO-00104,2026-02-23,10366.44,posted
I-00117,INV-2026-00117,S026,PO-00105,2026-01-24,43154.17,posted
I-00118,INV-2026-00118,S043,PO-00106,2026-02-14,23889.17,posted
I-00119,INV-2026-00119,S043,PO-00106,2026-01-24,18735.33,posted
I-00120,INV-2026-00120,S033,PO-00107,2026-03-17,7907.73,posted
I-00121,INV-2026-00121,S033,PO-00107,2026-03-08,14163.38,posted
I-00122,INV-2026-00122,S083,PO-00108,2026-03-03,180562.05,posted
I-00123,INV-2026-00123,S016,PO-00109,2026-03-06,11744.76,posted
I-00124,INV-2026-00124,S055,PO-00110,2026-02-23,55084.86,posted
I-00125,INV-2026-00125,S077,PO-00111,2026-03-07,17975.31,posted
I-00126,INV-2026-00126,S024,PO-00112,2026-02-15,14793.37,posted
I-00127,INV-2026-00127,S006,PO-00113,2026-05-01,11866.86,posted
I-00128,INV-2026-00128,S068,PO-00114,2026-02-20,35844.83,posted
I-00129,INV-2026-00129,S068,PO-00114,2026-03-10,19620.82,posted
I-00130,INV-2026-00130,S041,PO-00115,2026-04-02,17603.35,posted
I-00131,INV-2026-00131,S036,PO-00116,2026-03-30,19192.2,posted
I-00132,INV-2026-00132,S072,PO-00117,2026-02-05,20303.59,posted
I-00133,INV-2026-00133,S076,PO-00118,2026-01-21,36368.64,posted
I-00134,INV-2026-00134,S040,PO-00119,2026-03-19,61467.98,posted
I-00135,INV-2026-00135,S014,PO-00120,2026-02-04,34594.36,posted
I-00136,INV-2026-00136,S040,PO-00121,2026-01-22,66334.45,posted
I-00137,INV-2026-00137,S044,PO-00122,2026-04-03,71228.1,posted
I-00138,INV-2026-00138,S066,PO-00123,2026-04-13,20546.79,posted
I-00139,INV-2026-00139,S075,PO-00124,2026-02-21,34961.71,posted
I-00140,INV-2026-00140,S066,PO-00125,2026-03-08,52102.83,posted
I-00141,INV-2026-00141,S052,PO-00126,2026-03-01,47217.69,posted
I-00142,INV-2026-00142,S051,PO-00127,2026-03-25,30557.22,posted
I-00143,INV-2026-00143,S059,PO-00128,2026-02-14,84817.75,posted
I-00144,INV-2026-00144,S079,PO-00129,2026-03-31,24078.75,posted
I-00145,INV-2026-00145,S067,PO-00130,2026-04-14,17118.58,posted
I-00146,INV-2026-00146,S067,PO-00130,2026-04-27,7350.47,posted
I-00147,INV-2026-00147,S072,PO-00131,2026-02-20,36727.35,posted
I-00148,INV-2026-00148,S019,PO-00132,2026-03-28,25469.55,posted
I-00149,INV-2026-00149,S060,PO-00133,2026-03-31,14213.29,posted
I-00150,INV-2026-00150,S068,PO-00134,2026-02-02,61541.34,posted
I-00151,INV-2026-00151,S051,PO-00135,2026-02-02,29474.67,posted
I-00152,INV-2026-00152,S026,PO-00136,2026-01-16,57016.47,posted
I-00153,INV-2026-00153,S061,PO-00137,2026-01-28,66627.85,posted
I-00154,INV-2026-00154,S072,PO-00138,2026-01-20,12450.15,posted
I-00155,INV-2026-00155,S023,PO-00139,2026-01-31,43136.81,posted
I-00156,INV-2026-00156,S084,PO-00140,2026-03-28,20908.88,posted
I-00157,INV-2026-00157,S082,PO-00141,2026-03-02,35215.65,posted
I-00158,INV-2026-00158,S067,PO-00142,2026-03-18,45435.05,posted
I-00159,INV-2026-00159,S050,PO-00143,2026-03-04,17864.36,posted
I-00160,INV-2026-00160,S021,PO-00144,2026-03-15,14926.36,posted
I-00161,INV-2026-00161,S012,PO-00145,2026-03-16,29568.54,posted
I-00162,INV-2026-00162,S074,PO-00146,2026-03-12,23715.42,posted
I-00163,INV-2026-00163,S022,PO-00147,2026-03-20,20614.09,posted
I-00164,INV-2026-00164,S040,PO-00148,2026-03-31,37176.34,posted
I-00165,INV-2026-00165,S050,PO-00149,2026-03-09,26480.37,posted
I-00166,INV-2026-00166,S070,PO-00150,2026-03-22,41243.71,posted
I-00167,INV-2026-00167,S075,PO-00151,2026-03-18,46021.73,posted
I-00168,INV-2026-00168,S064,PO-00152,2026-02-06,6119.74,posted
I-00169,INV-2026-00169,S064,PO-00152,2026-01-31,12148.63,posted
I-00170,INV-2026-00170,S080,PO-00153,2026-02-27,20429.19,posted
I-00171,INV-2026-00171,S028,PO-00154,2026-03-29,36403.29,posted
I-00172,INV-2026-00172,S057,PO-00155,2026-02-09,34641.21,posted
I-00173,INV-2026-00173,S039,PO-00156,2026-03-26,22057.27,posted
I-00174,INV-2026-00174,S039,PO-00156,2026-04-02,10948.22,posted
I-00175,INV-2026-00175,S028,PO-00157,2026-02-11,80375.8,posted
I-00176,INV-2026-00176,S029,PO-00158,2026-02-15,84066.02,posted
I-00177,INV-2026-00177,S082,PO-00159,2026-02-08,9332.36,posted
I-00178,INV-2026-00178,S065,PO-00160,2026-01-25,30169.7,posted
I-00179,INV-2026-00179,S055,PO-00161,2026-01-24,24928.92,posted
I-00180,INV-2026-00180,S047,PO-00162,2026-03-07,14756.77,posted
I-00181,INV-2026-00181,S001,PO-00163,2026-02-22,9575.24,posted
I-00182,INV-2026-00182,S010,PO-00164,2026-04-17,2038.58,posted
I-00183,INV-2026-00183,S010,PO-00164,2026-04-25,4235.74,posted
I-00184,INV-2026-00184,S037,PO-00165,2026-03-06,23499.31,posted
I-00185,INV-2026-00185,S032,PO-00166,2026-02-12,11414.34,posted
I-00186,INV-2026-00186,S032,PO-00166,2026-02-07,9299.77,posted
I-00187,INV-2026-00187,S071,PO-00167,2026-02-16,32994.05,posted
I-00188,INV-2026-00188,S049,PO-00168,2026-03-28,22973.5,posted
I-00189,INV-2026-00189,S002,PO-00169,2026-04-17,47424.13,posted
I-00190,INV-2026-00190,S042,PO-00170,2026-03-10,60977.8,posted
I-00191,INV-2026-00191,S052,PO-00171,2026-03-14,17195.63,posted
I-00192,INV-2026-00192,S070,PO-00172,2026-03-30,18982.98,posted
I-00193,INV-2026-00193,S036,PO-00173,2026-03-29,21039.33,posted
I-00194,INV-2026-00194,S036,PO-00173,2026-03-14,48070.71,posted
I-00195,INV-2026-00195,S067,PO-00174,2026-02-13,15347.66,posted
I-00196,INV-2026-00196,S075,PO-00175,2026-03-15,90572.61,posted
I-00197,INV-2026-00197,S036,PO-00176,2026-02-12,116067.7,posted
I-00198,INV-2026-00198,S065,PO-00177,2026-02-12,21888.57,posted
I-00199,INV-2026-00199,S057,PO-00178,2026-03-27,29870.5,posted
I-00200,INV-2026-00200,S016,PO-00179,2026-04-12,36697.57,posted
I-00201,INV-2026-00201,S083,PO-00180,2026-04-14,11660.52,posted
I-00202,INV-2026-00202,S034,PO-00181,2026-02-12,115548.49,posted
I-00203,INV-2026-00203,S018,PO-00182,2026-03-27,6299.35,posted
I-00204,INV-2026-00204,S059,PO-00183,2026-02-26,26741.64,posted
I-00205,INV-2026-00205,S039,PO-00184,2026-04-07,21529.86,posted
I-00206,INV-2026-00206,S023,PO-00185,2026-04-09,111506.96,posted
I-00207,INV-2026-00207,S036,PO-00186,2026-02-09,29359.55,posted
I-00208,INV-2026-00208,S040,PO-00187,2026-02-18,10098.31,posted
I-00209,INV-2026-00209,S063,PO-00188,2026-02-27,39846.98,posted
I-00210,INV-2026-00210,S036,PO-00189,2026-03-04,34240.67,posted
I-00211,INV-2026-00211,S066,PO-00190,2026-04-13,68003.45,posted
I-00212,INV-2026-00212,S010,PO-00191,2026-03-03,8163.35,posted
I-00213,INV-2026-00213,S039,PO-00192,2026-03-02,54982.43,posted
I-00214,INV-2026-00214,S079,PO-00193,2026-03-20,58437.49,posted
I-00215,INV-2026-00215,S042,PO-00194,2026-04-07,17380.99,posted
I-00216,INV-2026-00216,S047,PO-00195,2026-02-02,8652.32,posted
I-00217,INV-2026-00217,S047,PO-00195,2026-02-20,5719.82,posted
I-00218,INV-2026-00218,S033,PO-00196,2026-03-23,17419.01,posted
I-00219,INV-2026-00219,S001,PO-00197,2026-04-22,58009.39,posted
I-00220,INV-2026-00220,S034,PO-00198,2026-03-09,48174.09,posted
I-00221,INV-2026-00221,S080,PO-00199,2026-03-30,19564.16,posted
I-00222,INV-2026-00222,S072,PO-00200,2026-01-26,50661.95,posted
I-00223,INV-2026-00223,S007,PO-00201,2026-04-22,67129.12,posted
I-00224,INV-2026-00224,S024,PO-00202,2026-03-07,21985.08,posted
I-00225,INV-2026-00225,S069,PO-00203,2026-03-11,62299.13,posted
I-00226,INV-2026-00226,S082,PO-00204,2026-02-15,20492.06,posted
I-00227,INV-2026-00227,S018,PO-00205,2026-02-12,21164.83,posted
I-00228,INV-2026-00228,S085,PO-00206,2026-01-28,24718.0,posted
I-00229,INV-2026-00229,S067,PO-00207,2026-04-05,33344.37,posted
I-00230,INV-2026-00230,S004,PO-00208,2026-02-04,6398.09,posted
I-00231,INV-2026-00231,S058,PO-00209,2026-03-29,12891.2,posted
I-00232,INV-2026-00232,S008,PO-00210,2026-02-16,5233.13,posted
I-00233,INV-2026-00233,S006,PO-00211,2026-04-13,42031.95,posted
I-00234,INV-2026-00234,S061,PO-00212,2026-04-21,65265.55,posted
I-00235,INV-2026-00235,S002,PO-00213,2026-03-02,74754.28,posted
I-00236,INV-2026-00236,S069,PO-00214,2026-03-08,6812.69,posted
I-00237,INV-2026-00237,S062,PO-00215,2026-03-14,27916.73,posted
I-00238,INV-2026-00238,S030,PO-00216,2026-03-14,11741.98,posted
I-00239,INV-2026-00239,S042,PO-00217,2026-02-17,3488.09,posted
I-00240,INV-2026-00240,S042,PO-00217,2026-03-14,6953.72,posted
I-00241,INV-2026-00241,S050,PO-00218,2026-03-20,18006.07,posted
I-00242,INV-2026-00242,S049,PO-00219,2026-02-03,10820.39,posted
I-00243,INV-2026-00243,S077,PO-00220,2026-04-12,112582.04,posted
I-00244,INV-2026-00244,S002,PO-00221,2026-03-13,9526.53,posted
I-00245,INV-2026-00245,S078,PO-00222,2026-01-22,13403.85,posted
I-00246,INV-2026-00246,S020,PO-00223,2026-01-25,23697.72,posted
I-00247,INV-2026-00247,S015,PO-00224,2026-03-09,27774.47,posted
I-00248,INV-2026-00248,S062,PO-00225,2026-02-26,27228.38,posted
I-00249,INV-2026-00249,S024,PO-00226,2026-02-15,11603.29,posted
I-00250,INV-2026-00250,S074,PO-00227,2026-04-11,31622.22,posted
I-00251,INV-2026-00251,S011,PO-00228,2026-03-27,32332.49,posted
I-00252,INV-2026-00252,S052,PO-00229,2026-04-19,43786.46,posted
I-00253,INV-2026-00253,S023,PO-00230,2026-02-22,23576.62,posted
I-00254,INV-2026-00254,S047,PO-00231,2026-02-04,51992.6,posted
I-00255,INV-2026-00255,S059,PO-00232,2026-02-23,3317.54,posted
I-00256,INV-2026-00256,S059,PO-00232,2026-02-23,6440.68,posted
I-00257,INV-2026-00257,S079,PO-00233,2026-03-09,66716.95,posted
I-00258,INV-2026-00258,S064,PO-00234,2026-03-25,48491.57,posted
I-00259,INV-2026-00259,S052,PO-00235,2026-02-13,33535.72,posted
I-00260,INV-2026-00260,S024,PO-00236,2026-03-05,37023.5,posted
I-00261,INV-2026-00261,S082,PO-00237,2026-03-31,52890.74,posted
I-00262,INV-2026-00262,S009,PO-00238,2026-03-18,48508.97,posted
I-00263,INV-2026-00263,S085,PO-00239,2026-02-17,12869.46,posted
I-00264,INV-2026-00264,S027,PO-00240,2026-03-22,58109.31,posted
I-00265,INV-2026-00265,S024,PO-00241,2026-02-11,31228.45,posted
I-00266,INV-2026-00266,S014,PO-00242,2026-03-15,60461.48,posted
I-00267,INV-2026-00267,S042,PO-00243,2026-03-27,35453.8,posted
I-00268,INV-2026-00268,S015,PO-00244,2026-04-22,13446.22,posted
I-00269,INV-2026-00269,S014,PO-00245,2026-01-30,12460.18,posted
I-00270,INV-2026-00270,S034,PO-00246,2026-03-04,22103.61,posted
I-00271,INV-2026-00271,S034,PO-00246,2026-03-15,14093.93,posted
I-00272,INV-2026-00272,S029,PO-00247,2026-02-23,57450.51,posted
I-00273,INV-2026-00273,S063,PO-00248,2026-03-11,6105.73,posted
I-00274,INV-2026-00274,S063,PO-00248,2026-03-08,3329.72,posted
I-00275,INV-2026-00275,S076,PO-00249,2026-03-01,21067.51,posted
I-00276,INV-2026-00276,S008,PO-00250,2026-04-27,56190.16,posted
I-00277,INV-2026-00277,S049,PO-00251,2026-03-09,20766.62,posted
I-00278,INV-2026-00278,S049,PO-00252,2026-01-26,93427.44,posted
I-00279,INV-2026-00279,S002,PO-00253,2026-04-09,42883.14,posted
I-00280,INV-2026-00280,S058,PO-00254,2026-01-30,62906.93,posted
I-00281,INV-2026-00281,S008,PO-00255,2026-01-27,16646.72,posted
I-00282,INV-2026-00282,S083,PO-00256,2026-02-23,96383.68,posted
I-00283,INV-2026-00283,S049,PO-00257,2026-03-04,46016.42,posted
I-00284,INV-2026-00284,S063,PO-00258,2026-04-24,35527.33,posted
I-00285,INV-2026-00285,S064,PO-00259,2026-04-15,28362.11,posted
I-00286,INV-2026-00286,S064,PO-00259,2026-04-14,18675.01,posted
I-00287,INV-2026-00287,S048,PO-00260,2026-02-28,16408.63,posted
I-00288,INV-2026-00288,S048,PO-00260,2026-03-02,17266.02,posted
I-00289,INV-2026-00289,S003,PO-00261,2026-02-17,72646.52,posted
I-00290,INV-2026-00290,S025,PO-00262,2026-03-16,25982.57,posted
I-00291,INV-2026-00291,S081,PO-00263,2026-03-04,23315.0,posted
I-00292,INV-2026-00292,S053,PO-00264,2026-04-19,24581.61,posted
I-00293,INV-2026-00293,S053,PO-00265,2026-03-11,12984.48,posted
I-00294,INV-2026-00294,S053,PO-00265,2026-03-09,19806.17,posted
I-00295,INV-2026-00295,S077,PO-00266,2026-02-12,29409.88,posted
I-00296,INV-2026-00296,S028,PO-00267,2026-03-26,7656.53,posted
I-00297,INV-2026-00297,S005,PO-00268,2026-03-26,60613.72,posted
I-00298,INV-2026-00298,S063,PO-00269,2026-02-22,14416.11,posted
I-00299,INV-2026-00299,S022,PO-00270,2026-02-27,19855.74,posted
I-00300,INV-2026-00300,S018,PO-00271,2026-01-23,21726.9,posted
I-00301,INV-2026-00301,S018,PO-00272,2026-02-28,47737.93,posted
I-00302,INV-2026-00302,S013,PO-00273,2026-02-18,6345.44,posted
I-00303,INV-2026-00303,S083,PO-00274,2026-01-20,10476.93,posted
I-00304,INV-2026-00304,S019,PO-00275,2026-04-21,149507.53,posted
I-00305,INV-2026-00305,S039,PO-00276,2026-01-31,70043.48,posted
I-00306,INV-2026-00306,S052,PO-00277,2026-03-14,93195.74,posted
I-00307,INV-2026-00307,S056,PO-00278,2026-01-31,22952.11,posted
I-00308,INV-2026-00308,S085,PO-00279,2026-03-31,65840.65,posted
I-00309,INV-2026-00309,S004,PO-00280,2026-02-26,23946.56,posted
I-00310,INV-2026-00310,S002,PO-00281,2026-03-05,20296.68,posted
I-00311,INV-2026-00311,S003,PO-00282,2026-04-01,7717.53,posted
I-00312,INV-2026-00312,S032,PO-00283,2026-03-12,26058.71,posted
I-00313,INV-2026-00313,S061,PO-00284,2026-03-17,22843.64,posted
I-00314,INV-2026-00314,S035,PO-00285,2026-03-31,5805.16,posted
I-00315,INV-2026-00315,S069,PO-00286,2026-04-05,14040.52,posted
I-00316,INV-2026-00316,S054,PO-00287,2026-02-04,7120.05,posted
I-00317,INV-2026-00317,S054,PO-00287,2026-02-06,15282.6,posted
I-00318,INV-2026-00318,S079,PO-00288,2026-04-05,12277.93,posted
I-00319,INV-2026-00319,S043,PO-00289,2026-04-10,46581.15,posted
I-00320,INV-2026-00320,S060,PO-00290,2026-02-18,21912.95,posted
I-00321,INV-2026-00321,S050,PO-00291,2026-02-10,34128.54,posted
I-00322,INV-2026-00322,S047,PO-00292,2026-02-26,63217.4,posted
I-00323,INV-2026-00323,S065,PO-00293,2026-02-16,35701.95,posted
I-00324,INV-2026-00324,S030,PO-00294,2026-04-02,10548.93,posted
I-00325,INV-2026-00325,S063,PO-00295,2026-02-22,44606.44,posted
I-00326,INV-2026-00326,S064,PO-00296,2026-03-23,18323.23,posted
I-00327,INV-2026-00327,S007,PO-00297,2026-02-27,8626.26,posted
I-00328,INV-2026-00328,S071,PO-00298,2026-04-05,7297.45,posted
I-00329,INV-2026-00329,S071,PO-00298,2026-03-28,16433.86,posted
I-00330,INV-2026-00330,S058,PO-00299,2026-04-13,38031.17,posted
I-00331,INV-2026-00331,S062,PO-00300,2026-03-26,36504.2,posted
I-00332,INV-2026-00332,S033,PO-00301,2026-02-08,8789.81,posted
I-00333,INV-2026-00333,S060,PO-00302,2026-02-11,27926.48,posted
I-00334,INV-2026-00334,S034,PO-00303,2026-01-16,55710.37,posted
I-00335,INV-2026-00335,S054,PO-00304,2026-02-21,17187.5,posted
I-00336,INV-2026-00336,S015,PO-00305,2026-02-03,27781.87,posted
I-00337,INV-2026-00337,S084,PO-00306,2026-02-05,28953.03,posted
I-00338,INV-2026-00338,S023,PO-00307,2026-01-27,31207.73,posted
I-00339,INV-2026-00339,S056,PO-00308,2026-02-19,60590.4,posted
I-00340,INV-2026-00340,S006,PO-00309,2026-03-08,30499.17,posted
I-00341,INV-2026-00341,S013,PO-00310,2026-03-10,5267.27,posted
I-00342,INV-2026-00342,S013,PO-00310,2026-03-02,5904.54,posted
I-00343,INV-2026-00343,S051,PO-00311,2026-04-14,13193.26,posted
I-00344,INV-2026-00344,S034,PO-00312,2026-01-21,32555.31,posted
I-00345,INV-2026-00345,S065,PO-00313,2026-02-16,6780.46,posted
I-00346,INV-2026-00346,S016,PO-00314,2026-04-08,18969.24,posted
I-00347,INV-2026-00347,S016,PO-00314,2026-04-16,8719.15,posted
I-00348,INV-2026-00348,S042,PO-00315,2026-01-31,29410.46,posted
I-00349,INV-2026-00349,S033,PO-00316,2026-03-24,39176.2,posted
I-00350,INV-2026-00350,S002,PO-00317,2026-01-31,20765.69,posted
I-00351,INV-2026-00351,S082,PO-00318,2026-01-24,29060.58,posted
I-00352,INV-2026-00352,S052,PO-00319,2026-04-28,16432.32,posted
I-00353,INV-2026-00353,S061,PO-00320,2026-02-23,15915.56,posted
I-00354,INV-2026-00354,S016,PO-00321,2026-03-04,53917.31,posted
I-00355,INV-2026-00355,S064,PO-00322,2026-03-05,18459.95,posted
I-00356,INV-2026-00356,S045,PO-00323,2026-02-11,35070.24,posted
I-00357,INV-2026-00357,S038,PO-00324,2026-02-13,60788.71,posted
I-00358,INV-2026-00358,S032,PO-00325,2026-04-05,87802.68,posted
I-00359,INV-2026-00359,S001,PO-00326,2026-04-08,76953.14,posted
I-00360,INV-2026-00360,S045,PO-00327,2026-02-16,17845.96,posted
I-00361,INV-2026-00361,S014,PO-00328,2026-03-25,9427.69,posted
I-00362,INV-2026-00362,S039,PO-00329,2026-02-16,22272.22,posted
I-00363,INV-2026-00363,S044,PO-00330,2026-02-10,19718.56,posted
I-00364,INV-2026-00364,S070,PO-00331,2026-04-22,26125.95,posted
I-00365,INV-2026-00365,S023,PO-00332,2026-03-16,22734.37,posted
I-00366,INV-2026-00366,S081,PO-00333,2026-01-31,24986.7,posted
