po_id,created_date,supplier_id,requester_user_id,buyer_user_id,amount,category,status,release_date
PO-00046,2026-01-19,S078,U024,U009,86764.61,Facilities,Released,2026-01-28
PO-00047,2026-01-17,S018,U018,U014,14767.32,Packaging,Released,2026-01-19
PO-00048,2026-01-29,S070,U016,U014,30643.94,Materials,Released,2026-02-04
PO-00049,2026-01-08,S006,U023,U009,32088.88,Components,Released,2026-01-14
PO-00050,2026-03-06,S043,U016,U009,24015.56,Maintenance,Released,2026-03-09
PO-00051,2026-01-21,S064,U017,U014,19248.91,Facilities,Released,2026-01-27
PO-00052,2026-01-12,S072,U024,U014,13362.24,IT,Released,2026-01-18
PO-00053,2026-03-24,S015,U017,U009,5719.09,Consulting,Released,2026-03-28
PO-00054,2026-01-02,S037,U018,U014,40211.38,Facilities,Released,2026-01-09
PO-00055,2026-02-15,S014,U017,U009,2722.3,Packaging,Released,2026-02-22
PO-00056,2026-02-14,S011,U023,U014,38437.91,Facilities,Released,2026-02-22
PO-00057,2026-01-09,S011,U024,U009,51043.01,Facilities,Released,2026-01-16
PO-00058,2026-01-04,S020,U018,U009,13055.25,Facilities,Released,2026-01-07
PO-00059,2026-03-02,S043,U017,U014,39894.17,Maintenance,Released,2026-03-07
PO-00060,2026-03-18,S006,U023,U009,44380.14,Components,Released,2026-03-22
PO-00061,2026-01-05,S064,U017,U014,44415.42,Facilities,Released,2026-01-09
PO-00062,2026-03-09,S004,U018,U009,19709.2,Maintenance,Released,2026-03-15
PO-00063,2026-01-01,S014,U023,U014,34379.63,Packaging,Released,2026-01-02
PO-00064,2026-03-22,S022,U016,U009,30999.95,Consulting,Released,2026-03-25
PO-00065,2026-03-25,S066,U016,U009,15285.86,Consulting,Released,2026-03-27
PO-00066,2026-03-05,S070,U017,U009,18609.18,Materials,Released,2026-03-11
PO-00067,2026-02-26,S050,U024,U009,42383.08,Packaging,Released,2026-02-28
PO-00068,2026-01-12,S084,U017,U014,18432.2,Facilities,Released,2026-01-14
PO-00069,2026-01-23,S061,U017,U014,36880.88,IT,Released,2026-01-27
PO-00070,2026-01-11,S073,U018,U014,28747.3,Facilities,Released,2026-01-18
PO-00071,2026-02-09,S074,U024,U009,22834.48,Logistics,Released,2026-02-09
PO-00072,2026-01-15,S061,U017,U014,29150.17,IT,Released,2026-01-16
PO-00073,2026-02-18,S078,U018,U009,34160.28,Facilities,Released,2026-02-25
PO-00074,2026-02-08,S036,U023,U014,28300.94,Components,Released,2026-02-15
PO-00075,2026-01-28,S071,U016,U009,30585.2,Maintenance,Released,2026-02-05
PO-00076,2026-01-27,S077,U018,U014,43674.91,Maintenance,Released,2026-02-02
PO-00077,2026-01-05,S023,U024,U014,23986.97,Maintenance,Released,2026-01-08
PO-00078,2026-03-20,S049,U023,U009,31278.56,Facilities,Released,2026-03-25
PO-00079,2026-03-27,S081,U024,U014,23572.6,Facilities,Released,2026-03-31
PO-00080,2026-03-13,S080,U018,U009,35988.97,Packaging,Released,2026-03-15
PO-00081,2026-02-17,S056,U024,U009,24878.06,Materials,Released,2026-02-21
PO-00082,2026-03-23,S059,U024,U014,44620.46,Consulting,Released,2026-03-28
PO-00083,2026-03-24,S059,U023,U009,58825.76,Consulting,Released,2026-03-29
PO-00084,2026-01-20,S012,U018,U009,10194.54,Packaging,Released,2026-01-23
PO-00085,2026-02-24,S012,U016,U014,72010.51,Packaging,Released,2026-03-02
PO-00086,2026-02-02,S024,U023,U009,62001.9,Packaging,Released,2026-02-07
PO-00087,2026-01-10,S014,U017,U014,15680.3,Packaging,Released,2026-01-15
PO-00088,2026-03-09,S040,U017,U009,144696.09,Facilities,Released,2026-03-11
PO-00089,2026-01-21,S027,U024,U014,31845.95,Consulting,Released,2026-01-27
PO-00090,2026-03-18,S032,U016,U009,39026.17,Consulting,Released,2026-03-25
PO-00091,2026-03-28,S060,U024,U014,89065.18,Facilities,Released,2026-04-02
PO-00092,2026-02-02,S046,U023,U014,17402.15,Maintenance,Released,2026-02-04
PO-00093,2026-02-12,S070,U016,U009,12436.25,Materials,Released,2026-02-17
PO-00094,2026-03-21,S023,U016,U014,21471.3,Maintenance,Released,2026-03-24
PO-00095,2026-01-15,S014,U023,U009,30509.39,Packaging,Released,2026-01-15
PO-00096,2026-03-13,S005,U017,U014,35559.71,Facilities,Released,2026-03-18
PO-00097,2026-02-09,S025,U016,U014,44211.03,Facilities,Released,2026-02-15
PO-00098,2026-02-06,S082,U017,U009,88697.59,Logistics,Released,2026-02-10
PO-00099,2026-01-25,S038,U016,U009,15673.87,Office supplies,Released,2026-01-28
PO-00100,2026-01-12,S025,U018,U014,11541.95,Facilities,Released,2026-01-20
PO-00101,2026-01-25,S018,U017,U009,33661.02,Packaging,Released,2026-01-27
PO-00102,2026-03-23,S047,U023,U009,26489.17,Consulting,Released,2026-03-29
PO-00103,2026-02-09,S036,U023,U009,25631.57,Components,Released,2026-02-14
PO-00104,2026-02-06,S010,U023,U014,10366.44,IT,Released,2026-02-07
PO-00105,2026-01-04,S026,U017,U009,43154.17,Consulting,Released,2026-01-05
PO-00106,2026-01-06,S043,U024,U009,42624.5,Maintenance,Released,2026-01-15
PO-00107,2026-02-21,S033,U024,U014,22071.11,Logistics,Released,2026-02-21
PO-00108,2026-02-03,S083,U018,U009,180562.05,Maintenance,Released,2026-02-07
PO-00109,2026-02-14,S016,U016,U014,11744.76,Facilities,Released,2026-02-18
PO-00110,2026-01-26,S055,U023,U014,55084.86,Materials,Released,2026-02-01
PO-00111,2026-02-03,S077,U024,U014,17975.31,Maintenance,Released,2026-02-09
PO-00112,2026-01-23,S024,U016,U014,14793.37,Packaging,Released,2026-01-29
PO-00113,2026-03-30,S006,U018,U014,11866.86,Components,Released,2026-04-04
PO-00114,2026-02-10,S068,U024,U014,55465.65,Packaging,Released,2026-02-10
PO-00115,2026-03-20,S041,U017,U014,17603.35,Facilities,Released,2026-03-22
PO-00116,2026-03-12,S036,U023,U009,19192.2,Components,Released,2026-03-16
PO-00117,2026-01-09,S072,U016,U009,20303.59,IT,Released,2026-01-09
PO-00118,2026-01-07,S076,U016,U014,36368.64,Consulting,Released,2026-01-12
PO-00119,2026-02-27,S040,U024,U014,61467.98,Facilities,Released,2026-03-04
PO-00120,2026-01-31,S014,U018,U014,34594.36,Packaging,Released,2026-01-31
PO-00121,2026-01-01,S040,U016,U009,66334.45,Facilities,Released,2026-01-04
PO-00122,2026-03-17,S044,U018,U009,71228.1,Consulting,Released,2026-03-17
PO-00123,2026-03-19,S066,U016,U009,20546.79,Consulting,Released,2026-03-22
PO-00124,2026-01-27,S075,U024,U009,34961.71,Facilities,Released,2026-01-28
PO-00125,2026-02-17,S066,U023,U009,52102.83,Consulting,Released,2026-02-18
PO-00126,2026-02-10,S052,U023,U014,47217.69,Office supplies,Released,2026-02-16
PO-00127,2026-03-08,S051,U023,U014,30557.22,Packaging,Released,2026-03-14
PO-00128,2026-02-03,S059,U017,U014,84817.75,Consulting,Released,2026-02-11
PO-00129,2026-03-09,S079,U017,U009,24078.75,Components,Released,2026-03-16
PO-00130,2026-03-30,S067,U017,U014,24469.05,Facilities,Released,2026-04-08
PO-00131,2026-02-08,S072,U023,U009,36727.35,IT,Released,2026-02-10
PO-00132,2026-02-19,S019,U018,U009,25469.55,Consulting,Released,2026-02-27
PO-00133,2026-03-24,S060,U023,U009,14213.29,Facilities,Released,2026-03-25
PO-00134,2026-01-08,S068,U018,U014,61541.34,Packaging,Released,2026-01-08
PO-00135,2026-01-27,S051,U024,U014,29474.67,Packaging,Released,2026-01-29
PO-00136,2026-01-07,S026,U018,U009,57016.47,Consulting,Released,2026-01-11
PO-00137,2026-01-22,S061,U016,U009,66627.85,IT,Released,2026-01-24
PO-00138,2026-01-14,S072,U023,U009,12450.15,IT,Released,2026-01-17
PO-00139,2026-01-21,S023,U018,U009,43136.81,Maintenance,Released,2026-01-24
PO-00140,2026-03-07,S084,U018,U009,20908.88,Facilities,Released,2026-03-09
PO-00141,2026-02-17,S082,U016,U009,35215.65,Logistics,Released,2026-02-22
PO-00142,2026-03-04,S067,U023,U009,45435.05,Facilities,Released,2026-03-10
PO-00143,2026-02-06,S050,U024,U014,17864.36,Packaging,Released,2026-02-09
PO-00144,2026-02-09,S021,U024,U014,14926.36,Packaging,Released,2026-02-17
PO-00145,2026-02-20,S012,U017,U009,29568.54,Packaging,Released,2026-02-27
PO-00146,2026-02-13,S074,U023,U009,23715.42,Logistics,Released,2026-02-16
PO-00147,2026-03-01,S022,U023,U014,20614.09,Consulting,Released,2026-03-05
PO-00148,2026-02-28,S040,U016,U009,37176.34,Facilities,Released,2026-03-02
PO-00149,2026-02-13,S050,U016,U014,26480.37,Packaging,Released,2026-02-21
PO-00150,2026-03-13,S070,U016,U014,41243.71,Materials,Released,2026-03-14
PO-00151,2026-02-22,S075,U024,U014,46021.73,Facilities,Released,2026-02-27
PO-00152,2026-01-04,S064,U023,U009,18268.37,Facilities,Released,2026-01-09
PO-00153,2026-02-09,S080,U024,U014,20429.19,Packaging,Released,2026-02-16
PO-00154,2026-02-26,S028,U016,U014,36403.29,Materials,Released,2026-03-04
PO-00155,2026-01-11,S057,U023,U009,34641.21,Components,Released,2026-01-13
PO-00156,2026-02-26,S039,U023,U014,33005.49,Logistics,Released,2026-03-05
PO-00157,2026-01-17,S028,U017,U009,80375.8,Materials,Released,2026-01-25
PO-00158,2026-01-16,S029,U024,U009,84066.02,Office supplies,Released,2026-01-22
PO-00159,2026-01-20,S082,U024,U014,9332.36,Logistics,Released,2026-01-21
PO-00160,2026-01-13,S065,U017,U014,30169.7,Facilities,Released,2026-01-21
PO-00161,2026-01-01,S055,U018,U014,24928.92,Materials,Released,2026-01-03
PO-00162,2026-02-12,S047,U024,U014,14756.77,Consulting,Released,2026-02-15
PO-00163,2026-01-31,S001,U016,U009,9575.24,Consulting,Released,2026-02-05
PO-00164,2026-03-24,S010,U024,U014,6274.32,IT,Released,2026-03-27
PO-00165,2026-02-18,S037,U018,U014,23499.31,Facilities,Released,2026-02-20
PO-00166,2026-01-09,S032,U024,U009,20714.11,Consulting,Released,2026-01-15
PO-00167,2026-02-06,S071,U024,U009,32994.05,Maintenance,Released,2026-02-07
PO-00168,2026-03-14,S049,U024,U014,22973.5,Facilities,Released,2026-03-17
PO-00169,2026-03-19,S002,U018,U014,47424.13,Consulting,Released,2026-03-22
PO-00170,2026-02-11,S042,U017,U014,60977.8,Consulting,Released,2026-02-15
PO-00171,2026-02-17,S052,U016,U009,17195.63,Office supplies,Released,2026-02-19
PO-00172,2026-03-26,S070,U016,U014,18982.98,Materials,Released,2026-03-27
PO-00173,2026-02-26,S036,U023,U014,69110.04,Components,Released,2026-03-03
PO-00174,2026-01-30,S067,U023,U009,15347.66,Facilities,Released,2026-02-02
PO-00175,2026-02-21,S075,U018,U014,90572.61,Facilities,Released,2026-02-25
PO-00176,2026-02-07,S036,U023,U014,116067.7,Components,Released,2026-02-09
PO-00177,2026-01-17,S065,U018,U014,21888.57,Facilities,Released,2026-01-21
PO-00178,2026-03-04,S057,U024,U009,29870.5,Components,Released,2026-03-12
PO-00179,2026-03-11,S016,U023,U014,36697.57,Facilities,Released,2026-03-16
PO-00180,2026-03-27,S083,U024,U009,11660.52,Maintenance,Released,2026-03-30
PO-00181,2026-01-09,S034,U018,U014,115548.49,Packaging,Released,2026-01-14
PO-00182,2026-03-14,S018,U016,U009,6299.35,Packaging,Released,2026-03-18
PO-00183,2026-02-10,S059,U018,U009,26741.64,Consulting,Released,2026-02-13
PO-00184,2026-03-17,S039,U018,U014,21529.86,Logistics,Released,2026-03-17
PO-00185,2026-03-09,S023,U024,U009,111506.96,Maintenance,Released,2026-03-13
PO-00186,2026-01-16,S036,U017,U014,29359.55,Components,Released,2026-01-22
PO-00187,2026-02-09,S040,U023,U009,10098.31,Facilities,Released,2026-02-11
PO-00188,2026-01-29,S063,U023,U009,39846.98,Maintenance,Released,2026-02-06
PO-00189,2026-02-09,S036,U017,U009,34240.67,Components,Released,2026-02-11
PO-00190,2026-03-23,S066,U017,U009,68003.45,Consulting,Released,2026-04-01
PO-00191,2026-02-20,S010,U018,U014,8163.35,IT,Released,2026-02-28
PO-00192,2026-02-17,S039,U017,U014,54982.43,Logistics,Released,2026-02-20
PO-00193,2026-03-02,S079,U016,U009,58437.49,Components,Released,2026-03-04
PO-00194,2026-03-22,S042,U018,U009,17380.99,Consulting,Released,2026-03-23
PO-00195,2026-01-23,S047,U018,U014,14372.14,Consulting,Released,2026-01-26
PO-00196,2026-03-08,S033,U024,U009,17419.01,Logistics,Released,2026-03-10
PO-00197,2026-03-20,S001,U023,U009,58009.39,Consulting,Released,2026-03-24
PO-00198,2026-02-04,S034,U018,U014,48174.09,Packaging,Released,2026-02-11
PO-00199,2026-03-18,S080,U017,U009,19564.16,Packaging,Released,2026-03-21
PO-00200,2026-01-02,S072,U023,U009,50661.95,IT,Released,2026-01-07
PO-00201,2026-03-29,S007,U018,U009,67129.12,Maintenance,Released,2026-04-02
PO-00202,2026-02-11,S024,U018,U014,21985.08,Packaging,Released,2026-02-14
PO-00203,2026-02-27,S069,U023,U009,62299.13,Consulting,Released,2026-03-01
PO-00204,2026-02-04,S082,U024,U009,20492.06,Logistics,Released,2026-02-04
PO-00205,2026-01-14,S018,U017,U014,21164.83,Packaging,Released,2026-01-15
PO-00206,2026-01-03,S085,U017,U014,24718.0,IT,Released,2026-01-07
PO-00207,2026-03-17,S067,U017,U009,33344.37,Facilities,Released,2026-03-23
PO-00208,2026-01-16,S004,U023,U009,6398.09,Maintenance,Released,2026-01-23
PO-00209,2026-03-07,S058,U024,U014,12891.2,Facilities,Released,2026-03-13
PO-00210,2026-01-17,S008,U017,U014,5233.13,Materials,Released,2026-01-22
PO-00211,2026-03-28,S006,U017,U014,42031.95,Components,Released,2026-04-01
PO-00212,2026-03-23,S061,U017,U009,65265.55,IT,Released,2026-03-28
PO-00213,2026-02-20,S002,U018,U014,74754.28,Consulting,Released,2026-02-24
PO-00214,2026-02-10,S069,U017,U009,6812.69,Consulting,Released,2026-02-12
PO-00215,2026-03-06,S062,U016,U014,27916.73,Office supplies,Released,2026-03-09
PO-00216,2026-02-14,S030,U023,U014,11741.98,Components,Released,2026-02-18
PO-00217,2026-02-09,S042,U016,U014,10441.81,Consulting,Released,2026-02-13
PO-00218,2026-02-26,S050,U023,U009,18006.07,Packaging,Released,2026-03-02
PO-00219,2026-01-26,S049,U024,U014,10820.39,Facilities,Released,2026-01-31
PO-00220,2026-03-14,S077,U017,U014,112582.04,Maintenance,Released,2026-03-20
PO-00221,2026-02-27,S002,U016,U014,9526.53,Consulting,Released,2026-03-05
PO-00222,2026-01-05,S078,U018,U014,13403.85,Facilities,Released,2026-01-10
PO-00223,2026-01-13,S020,U018,U009,23697.72,Facilities,Released,2026-01-16
PO-00224,2026-02-07,S015,U024,U009,27774.47,Consulting,Released,2026-02-11
PO-00225,2026-02-02,S062,U018,U009,27228.38,Office supplies,Released,2026-02-11
PO-00226,2026-01-15,S024,U018,U009,11603.29,Packaging,Released,2026-01-20
PO-00227,2026-03-30,S074,U017,U014,31622.22,Logistics,Released,2026-04-01
PO-00228,2026-02-24,S011,U024,U014,32332.49,Facilities,Released,2026-02-27
PO-00229,2026-03-18,S052,U024,U009,43786.46,Office supplies,Released,2026-03-25
PO-00230,2026-02-03,S023,U016,U009,23576.62,Maintenance,Released,2026-02-03
PO-00231,2026-01-05,S047,U017,U009,51992.6,Consulting,Released,2026-01-06
PO-00232,2026-02-09,S059,U018,U014,9758.22,Consulting,Released,2026-02-16
PO-00233,2026-02-25,S079,U017,U009,66716.95,Components,Released,2026-03-02
PO-00234,2026-03-10,S064,U023,U009,48491.57,Facilities,Released,2026-03-16
PO-00235,2026-02-03,S052,U016,U009,33535.72,Office supplies,Released,2026-02-05
PO-00236,2026-02-19,S024,U016,U014,37023.5,Packaging,Released,2026-02-20
PO-00237,2026-03-12,S082,U017,U009,52890.74,Logistics,Released,2026-03-14
PO-00238,2026-02-15,S009,U017,U014,48508.97,IT,Released,2026-02-21
PO-00239,2026-01-27,S085,U017,U009,12869.46,IT,Released,2026-02-02
PO-00240,2026-03-10,S027,U024,U009,58109.31,Consulting,Released,2026-03-10
PO-00241,2026-01-21,S024,U018,U014,31228.45,Packaging,Released,2026-01-24
PO-00242,2026-02-12,S014,U016,U009,60461.48,Packaging,Released,2026-02-21
PO-00243,2026-03-18,S042,U017,U009,35453.8,Consulting,Released,2026-03-21
PO-00244,2026-03-30,S015,U023,U014,13446.22,Consulting,Released,2026-04-05
PO-00245,2026-01-10,S014,U023,U009,12460.18,Packaging,Released,2026-01-15
PO-00246,2026-02-14,S034,U018,U014,36197.54,Packaging,Released,2026-02-21
PO-00247,2026-01-29,S029,U024,U014,57450.51,Office supplies,Released,2026-02-02
PO-00248,2026-02-03,S063,U016,U009,9435.45,Maintenance,Released,2026-02-09
PO-00249,2026-02-14,S076,U016,U009,21067.51,Consulting,Released,2026-02-16
PO-00250,2026-03-24,S008,U016,U009,56190.16,Materials,Released,2026-03-31
PO-00251,2026-02-16,S049,U018,U009,20766.62,Facilities,Released,2026-02-22
PO-00252,2026-01-08,S049,U017,U009,93427.44,Facilities,Released,2026-01-08
PO-00253,2026-03-30,S002,U016,U014,42883.14,Consulting,Released,2026-04-06
PO-00254,2026-01-16,S058,U017,U014,62906.93,Facilities,Released,2026-01-18
PO-00255,2026-01-19,S008,U018,U014,16646.72,Materials,Released,2026-01-24
PO-00256,2026-02-04,S083,U017,U014,96383.68,Maintenance,Released,2026-02-08
PO-00257,2026-01-28,S049,U023,U009,46016.42,Facilities,Released,2026-02-03
PO-00258,2026-03-22,S063,U024,U014,35527.33,Maintenance,Released,2026-03-29
PO-00259,2026-03-31,S064,U023,U009,47037.12,Facilities,Released,2026-04-05
PO-00260,2026-02-12,S048,U018,U009,33674.65,Consulting,Released,2026-02-19
PO-00261,2026-02-08,S003,U018,U009,72646.52,Maintenance,Released,2026-02-12
PO-00262,2026-03-02,S025,U018,U009,25982.57,Facilities,Released,2026-03-03
PO-00263,2026-01-31,S081,U024,U009,23315.0,Facilities,Released,2026-02-03
PO-00264,2026-03-26,S053,U024,U014,24581.61,Maintenance,Released,2026-03-27
PO-00265,2026-02-13,S053,U023,U014,32790.65,Maintenance,Released,2026-02-16
PO-00266,2026-01-25,S077,U023,U014,29409.88,Maintenance,Released,2026-01-30
PO-00267,2026-03-05,S028,U018,U009,7656.53,Materials,Released,2026-03-10
PO-00268,2026-03-04,S005,U017,U009,60613.72,Facilities,Released,2026-03-13
PO-00269,2026-02-03,S063,U016,U009,14416.11,Maintenance,Released,2026-02-09
PO-00270,2026-01-25,S022,U017,U014,19855.74,Consulting,Released,2026-02-02
PO-00271,2026-01-14,S018,U023,U009,21726.9,Packaging,Released,2026-01-20
PO-00272,2026-02-14,S018,U023,U014,47737.93,Packaging,Released,2026-02-17
PO-00273,2026-01-28,S013,U017,U014,6345.44,Logistics,Released,2026-02-05
PO-00274,2026-01-05,S083,U023,U009,10476.93,Maintenance,Released,2026-01-09
PO-00275,2026-03-23,S019,U017,U009,149507.53,Consulting,Released,2026-03-26
PO-00276,2026-01-02,S039,U024,U014,70043.48,Logistics,Released,2026-01-03
PO-00277,2026-02-28,S052,U017,U014,93195.74,Office supplies,Released,2026-02-28
PO-00278,2026-01-19,S056,U018,U014,22952.11,Materials,Released,2026-01-28
PO-00279,2026-03-20,S085,U018,U009,65840.65,IT,Released,2026-03-20
PO-00280,2026-02-11,S004,U016,U014,23946.56,Maintenance,Released,2026-02-14
PO-00281,2026-02-09,S002,U024,U009,20296.68,Consulting,Released,2026-02-14
PO-00282,2026-03-16,S003,U023,U009,7717.53,Maintenance,Released,2026-03-21
PO-00283,2026-02-11,S032,U016,U014,26058.71,Consulting,Released,2026-02-12
PO-00284,2026-02-17,S061,U018,U009,22843.64,IT,Released,2026-02-21
PO-00285,2026-03-18,S035,U023,U014,5805.16,Facilities,Released,2026-03-18
PO-00286,2026-03-23,S069,U024,U014,14040.52,Consulting,Released,2026-03-30
PO-00287,2026-01-12,S054,U024,U014,22402.65,Maintenance,Released,2026-01-18
PO-00288,2026-03-16,S079,U016,U014,12277.93,Components,Released,2026-03-16
PO-00289,2026-03-28,S043,U024,U014,46581.15,Maintenance,Released,2026-04-01
PO-00290,2026-01-26,S060,U024,U014,21912.95,Facilities,Released,2026-01-27
PO-00291,2026-01-08,S050,U016,U014,34128.54,Packaging,Released,2026-01-14
PO-00292,2026-02-01,S047,U023,U014,63217.4,Consulting,Released,2026-02-10
PO-00293,2026-01-15,S065,U017,U014,35701.95,Facilities,Released,2026-01-17
PO-00294,2026-03-23,S030,U017,U014,10548.93,Components,Released,2026-03-29
PO-00295,2026-02-05,S063,U018,U014,44606.44,Maintenance,Released,2026-02-09
PO-00296,2026-03-14,S064,U017,U009,18323.23,Facilities,Released,2026-03-19
PO-00297,2026-02-03,S007,U018,U014,8626.26,Maintenance,Released,2026-02-06
PO-00298,2026-03-20,S071,U018,U009,23731.31,Maintenance,Released,2026-03-23
PO-00299,2026-03-21,S058,U017,U014,38031.17,Facilities,Released,2026-03-27
PO-00300,2026-02-24,S062,U024,U009,36504.2,Office supplies,Released,2026-02-27
PO-00301,2026-01-14,S033,U023,U014,8789.81,Logistics,Released,2026-01-20
PO-00302,2026-01-23,S060,U017,U014,27926.48,Facilities,Released,2026-01-29
PO-00303,2026-01-04,S034,U024,U014,55710.37,Packaging,Released,2026-01-05
PO-00304,2026-02-10,S054,U018,U009,17187.5,Maintenance,Released,2026-02-13
PO-00305,2026-01-19,S015,U018,U009,27781.87,Consulting,Released,2026-01-21
PO-00306,2026-01-27,S084,U017,U009,28953.03,Facilities,Released,2026-02-01
PO-00307,2026-01-18,S023,U017,U009,31207.73,Maintenance,Released,2026-01-24
PO-00308,2026-01-30,S056,U018,U009,60590.4,Materials,Released,2026-02-02
PO-00309,2026-02-15,S006,U024,U014,30499.17,Components,Released,2026-02-17
PO-00310,2026-02-09,S013,U023,U014,11171.81,Logistics,Released,2026-02-15
PO-00311,2026-03-09,S051,U016,U014,13193.26,Packaging,Released,2026-03-16
PO-00312,2026-01-11,S034,U016,U014,32555.31,Packaging,Released,2026-01-14
PO-00313,2026-01-25,S065,U016,U014,6780.46,Facilities,Released,2026-01-26
PO-00314,2026-03-24,S016,U018,U009,27688.39,Facilities,Released,2026-03-25
PO-00315,2026-01-13,S042,U024,U014,29410.46,Consulting,Released,2026-01-16
PO-00316,2026-03-17,S033,U017,U009,39176.2,Logistics,Released,2026-03-21
PO-00317,2026-01-20,S002,U016,U014,20765.69,Consulting,Released,2026-01-21
PO-00318,2026-01-10,S082,U018,U009,29060.58,Logistics,Released,2026-01-15
PO-00319,2026-03-23,S052,U024,U014,16432.32,Office supplies,Released,2026-03-30
PO-00320,2026-02-01,S061,U023,U009,15915.56,IT,Released,2026-02-02
PO-00321,2026-02-11,S016,U023,U014,53917.31,Facilities,Released,2026-02-16
PO-00322,2026-01-30,S064,U023,U014,18459.95,Facilities,Released,2026-02-05
PO-00323,2026-01-30,S045,U016,U014,35070.24,Packaging,Released,2026-02-03
PO-00324,2026-02-01,S038,U017,U009,60788.71,Office supplies,Released,2026-02-07
PO-00325,2026-03-25,S032,U018,U014,87802.68,Consulting,Released,2026-03-28
PO-00326,2026-03-31,S001,U017,U009,76953.14,Consulting,Released,2026-04-03
PO-00327,2026-01-26,S045,U017,U014,17845.96,Packaging,Released,2026-02-01
PO-00328,2026-03-02,S014,U018,U014,9427.69,Packaging,Released,2026-03-07
PO-00329,2026-01-19,S039,U023,U009,22272.22,Logistics,Released,2026-01-20
PO-00330,2026-01-12,S044,U024,U014,19718.56,Consulting,Released,2026-01-20
PO-00331,2026-03-28,S070,U024,U009,26125.95,Materials,Released,2026-04-03
PO-00332,2026-02-25,S023,U018,U009,22734.37,Maintenance,Released,2026-03-01
